taz,total_residential_units,exist_total_emp,dummy_res_value,dummy_biz_value
372,168,0,5.124,0.000
373,467,0,6.146,0.000
374,593,0,6.385,0.000
375,62,4,4.127,1.386
376,626,251,6.439,5.525
377,150,11,5.011,2.398
378,287,364,5.659,5.897
379,129,148,4.860,4.997
380,6,0,1.792,0.000
381,142,0,4.956,0.000
382,261,44,5.565,3.784
383,306,434,5.724,6.073
384,0,0,0.000,0.000
385,0,4,0.000,1.386
386,183,81,5.209,4.394
387,495,31,6.205,3.434
388,14,0,2.639,0.000
389,98,277,4.585,5.624
390,8,0,2.079,0.000
391,691,147,6.538,4.990
392,9,19,2.197,2.944
393,137,246,4.920,5.505
394,180,2,5.193,0.693
395,16,8,2.773,2.079
396,79,15,4.369,2.708
397,9,0,2.197,0.000
